vannmiljo_code,month,new,his_min,his_median,his_max
019-28921,4,3,5.0,5.0,5.0
019-28921,5,3,4.0,4.0,4.0
020-97010,8,1,2.0,2.0,2.0
021-28450,5,3,4.0,4.0,5.0
021-28451,5,3,4.0,5.0,5.0
027-58845,4,3,4.0,4.5,5.0
031-38523,7,1,2.0,3.0,3.0
031-58840,7,1,2.0,2.0,3.0
031-58843,7,1,2.0,3.0,3.0
031-58844,7,1,2.0,2.0,3.0
036-47959,4,4,5.0,5.0,5.0
036-86020,4,4,5.0,5.0,5.0
038-58854,4,4,5.0,5.0,5.0
038-88032,4,4,5.0,5.0,5.0
045-58816,3,3,4.0,4.0,5.0
045-58816,7,1,2.0,3.0,3.0
045-58817,3,3,4.0,4.0,5.0
045-58817,7,1,2.0,3.0,3.0
062-58818,4,3,4.0,4.0,6.0
063-58804,4,2,3.0,3.5,5.0
067-55330,4,2,3.0,4.0,5.0
067-58825,4,2,3.0,4.5,6.0
067-58826,1,1,2.0,2.0,3.0
067-58826,4,2,3.0,4.0,5.0
067-79150,4,2,3.0,4.0,5.0
082-50219,1,1,2.0,2.0,3.0
082-58872,6,1,2.0,2.0,3.0
082-58874,1,1,2.0,2.0,3.0
